Organization Name,URL,Mission/Summary,Category 1: Integrated Student Support,Category 2: Expanded Learning & Cultural Relevance,Category 3: Family & Community Engagement,Category 4: Collaborative Leadership,Target Communities,Geographic Area,Address,Email,Phone,Additional Themes
"City of Seattle, Department of Neighborhoods",http://www.seattle.gov/neighborhoods/,"Strengthens Seattle by actively engaging all communities through providing resources and opportunities for community members to build strong communities and improve their quality of life. Works through community engagement coordinators and neighborhood councils.",No,No,Yes,Yes,"Neighborhoods and residents citywide; community-based organizations and neighborhood councils across seven City Council Districts",Citywide Seattle,"600 4th Avenue, 4th Floor, Seattle, WA 98104",seattleneighborhoods@seattle.gov,(206) 684-0464,"P-Patch community gardening, historic preservation, neighborhood matching fund grants, food equity fund, community storytelling, civic participation"
"City of Seattle, Office for Civil Rights",https://www.seattle.gov/civil-rights,"SOCR works to advance civil rights and end barriers to equity by enforcing anti-discrimination laws in employment, housing, public accommodations, and contracting within Seattle city limits. Focuses on policy priorities and institutional change through the Race and Social Justice Initiative.",No,No,Yes,Yes,"Communities of color, LGBTQ individuals, renters, people with disabilities, and underserved populations experiencing discrimination",Citywide Seattle (city limits only),"810 3rd Avenue, Suite 750, Seattle, WA 98104-1627",civilrights@seattle.gov,(206) 684-4500,"Housing discrimination, fair housing rights, criminal history protections for renters, gender justice, LGBTQ visibility initiatives, Youth Civic Engagement Program (YCEP), participatory budgeting"
"City of Seattle, Department of Education and Early Learning",https://www.seattle.gov/education,"DEEL administers early learning programs and educational initiatives for Seattle families, including preschool, child care assistance, and community partnership programs. Provides youth mental health resources and school-based health centers through the FEPP Levy.",Yes,Yes,Yes,Yes,"Families with children ages 0-12+ years; childcare providers; preschool-age children (3-4 years); low-income families eligible for assistance programs",Citywide Seattle,"700 5th Ave, Suite 1700, Seattle, WA 98104",education@seattle.gov,"(206) 233-5118 (general); (206) 386-1050 (childcare/preschool)","Early learning, preschool, child care assistance, summer learning programs, youth telehealth services, quality practice & professional development, wraparound services, culturally specific investments, prenatal-to-three community grants"
City Year,https://www.cityyear.org/seattle,"City Year AmeriCorps members devote themselves to changing the education status in Seattle and creating environments where young people feel like they belong so they can fulfill their potential. Partners with educators and challenges the educational status quo.",No,Yes,No,Yes,"Seattle Public Schools students; Greater Seattle area; King County",Seattle/King County area,Not available on website,Not available on website,Not available on website,"Youth development through AmeriCorps service model, education opportunity advocacy"
Community for Youth,http://communityforyouth.org/,"Inspires students to be their best selves through mentoring, learning experiences, and community building. Goes beyond traditional one-to-one mentoring by creating multiple levels of support and connection for program participants.",No,Yes,No,No,Seattle students and adult mentors,"Seattle, Washington","1200 12th Ave S, Suite 710, Mailbox #14, Seattle, WA 98144",info@communityforyouth.org,(206) 325-8480,"Youth development, critical mentoring, Learning Community and Duos programs"
Communities In Schools of Greater King County,http://seattle.ciswa.org/,"Surrounds students with a community of support, empowering them to stay in school and achieve in life. Addresses opportunity gaps in education through an integrated student support model working directly in schools across multiple districts.",Yes,No,No,No,"Students furthest from educational justice across 39 schools in Renton, Tukwila, Lake Washington, Issaquah, and Seattle school districts; addresses race, English proficiency, income disparities","Greater King County region (Renton, Tukwila, Lake Washington, Issaquah, Seattle)","3407 NE 2nd St, Renton, WA 98056",info@cisgkc.org,(425) 278-8582,"Attendance improvement, behavioral support, academic coursework support, socioemotional learning, case management"
Congolese Community Of Washington State,https://ccwas.org/,"Community-based 501(C)3 non-profit organization established in 1989 to create a support network and serve as the hub of services for people of Congolese descent. Helps immigrants integrate into American society through various support services.",No,No,Yes,No,"Congolese immigrants and people of Congolese descent in Washington State and neighboring states",Washington State (statewide),"21428 44th Avenue, Seattle, WA",contact@ccwas.org,+1 (206) 290-9071,"Immigration assistance, job readiness/resume writing, interpreter and document translation services, local business support, cultural programming, community health board"
East African Community Services,http://www.eastafricancs.org/,"Empowers families in Seattle. Serves East African communities with services in Somali, Amharic, and Arabic languages. (Limited information available on website)",Not available,Not available,Not available,Not available,"East African families in Seattle (Somali, Amharic, and Arabic-speaking communities)",Seattle,Not available on website,Not available on website,Not available on website,"Translation services in Somali, Amharic, and Arabic"
El Centro de la Raza,http://www.elcentrodelaraza.org/,"El Centro de la Raza is a voice and a hub for the Latino/a community in King County. Founded in 1972, they provide 43 programs addressing poverty, racism, and systemic inequality through collective action and community empowerment.",Yes,Yes,Yes,Yes,"Latino/a communities; serves all demographics; focuses on underserved populations experiencing poverty and systemic barriers","Seattle (Beacon Hill), Federal Way, and King County; expanding early learning centers to Roosevelt, Columbia City, International District, and Northgate (2026)","Seattle: 2524 16th Ave S, Seattle, WA 98144; Federal Way: 1607 S 341st PL, Federal Way, WA 98003",Not listed on website,"Seattle: (206) 957-4634; Federal Way: (360) 986-7040","Housing (affordable housing), food security (food bank - 312,403 lbs distributed in 2024), workforce development, job training, small business services, financial empowerment, credit building, early learning (ages 15 months-5 years), youth programs (ages 11-24), recreation (skate rink)"
Equity in Education Coalition,http://eec-wa.org/,"The only statewide civil rights organization focused on revolutionizing education so that a child's race and zip code aren't the predicating factors in defining their success. Works to eliminate opportunity gaps and promote success from birth through career by addressing policy, funding, and digital equity.",No,Yes,Yes,Yes,"Communities of color throughout Washington state, with emphasis on Black and Brown communities; ConnectWA Coalition reaches 51,000+ residents",Statewide Washington,"1200 12th Ave S, Suite 830, Seattle, WA 98144",info@eec-wa.org,(253) 881-6602,"Digital equity and technology access, digital navigation services (210,000+ services since 2022), TechConnectWA help desk, food security (distributed $5 million in food and rental assistance during COVID-19), school funding advocacy, research and data on systemic inequities, translation services in 15+ languages"
Equity Matters,http://www.equitymattersnw.com/,"Equity Matters is a Seattle-based women of color consulting team specializing in racial justice transformation. They support organizations through collaborative planning, assessments, workshops, and design labs to create systemic racial equity change across government, educational, and nonprofit sectors.",No,No,No,Yes,"Organizations across multiple sectors (government entities, educational institutions, philanthropic and nonprofit organizations) seeking racial equity transformation",Seattle-based with broader regional scope,"P.O. Box 3462, Seattle, WA 98114",info@equitymattersnw.com,Not available,"Racial equity consulting and organizational transformation, professional development, strategic planning, inclusive hiring, community engagement tools"
Ethiopian Community in Seattle,http://ecseattle.org/,"The Ethiopian Community in Seattle launched in 1980 to help the community gain a foothold in Seattle and the surrounding area. ECS provides culturally appropriate social services and programs for more than 5,000 members of the Ethiopian community in King County, helping overcome cultural and racial barriers to promote a thriving, self-sustaining community.",Yes,Yes,Yes,Yes,"Ethiopian immigrants and East African communities in King County; serves more than 5,000 community members",King County,"8323 Rainier Ave S, Suite A, Seattle, WA 98118",info@ecseattle.org,(206) 325-0304,"Immigration services, health services, housing assistance, legal services, employment support, small business development, cultural education and preservation, social services, community organizing"
George Pocock Rowing Foundation,https://www.pocockfoundation.org/,"The foundation introduces young people to rowing since 1984, helping them find, start and stay rowing through programs designed to create opportunities for youth who need them most. They serve 55,000+ young people annually through school-based programs and partnerships with Pacific Northwest boathouses.",No,Yes,Yes,Yes,"Young people in Pacific Northwest, particularly underserved populations; operates ERG ED® school-based programs and works with 50+ partners and affiliates",Pacific Northwest (Washington state focus),Not available on website,Not available on website,Not available on website,"Youth athletic development through rowing, financial aid and scholarships ($500K+ annually), uniforms, transportation, coaching support, Camp Lucy, middle school and junior rowing programs"
Indian Parent Advisory Committee,https://www.seattleschools.org/departments/native-american-education/parent/,"The Indian Parent Advisory Committee (IPAC) advises Seattle Public Schools on the Native Education Title VI Indian Education Grant. The IPAC participates in approving grant applications, budgets, and amendments while representing Native American stakeholders who benefit from Title VI programming.",Yes,Yes,Yes,Yes,"Native American/Alaska Native students enrolled in Seattle Public Schools who have completed voluntary 506 identification forms; works with Muckleshoot and Suquamish tribes","Seattle Public Schools district-wide","John Stanford Center for Educational Excellence, 2445 3rd Ave. S, Seattle, WA 98134",gebadoni@seattleschools.org,"206-252-0858, 206-252-0000","Cultural programming including Since Time Immemorial curriculum (state-mandated tribal history and culture), credit retrieval support, government-to-government tribal partnerships"
Kandelia,https://www.kandelia.org/,"Kandelia works to remove barriers to immigrant and refugee success in Seattle. They provide comprehensive support services for immigrant and refugee communities.",Unable to determine specific programs,Unable to determine specific programs,Unable to determine specific programs,Unable to determine specific programs,"Immigrants and refugees in Seattle","Seattle, WA 98118","Seattle, WA 98118 (full street address not available)",info@kandelia.org,206-760-1573,"Immigration and refugee support services, Roots and Routes: Immigrant Stories in Seattle series"
Launch,http://www.launchlearning.org/,"Launch is a Seattle-based nonprofit founded in 1977 that provides effective, affordable early learning, before- & after-school enrichment, early preschool, and summer expanded learning opportunity programs. They serve more than 800 children ages 2-12 years old annually during foundational years when their social-emotional and academic support help launch young lives on a trajectory of success.",No,Yes,Yes,No,"Children ages 2-12 years old in Seattle; families seeking affordable early learning and enrichment programs",Seattle-based,Not available on website,Not available on website,Not available on website,"Early childhood education (ages 0-8), before and after-school programs, summer programs, early preschool, social-emotional development, values include kindness, compassion, continuous improvement"
League of Education Voters,https://educationvoters.org/,"League of Education Voters champions an equitable public education system across Washington state, working with families, educators, and leaders to build student success from early learning through higher education and career readiness. They focus on advocacy, policy research, and building capacity for education coalitions.",Yes,Yes,Yes,Yes,"Students across Washington state with particular emphasis on communities of color and equity; South Shore PreK-8 in South Seattle serves as a practical model",Statewide Washington coverage with South Seattle programs referenced,"3450 16th Ave W Suite 302A, Seattle, WA 98119","Available via contact form at educationvoters.org/contact/ (staff format: firstname@educationvoters.org)",206-728-6448,"Youth advocacy, policy research, legislative advocacy, higher education access, early childhood development, student homelessness, special education funding, racial equity in education systems, school discipline transformation, universal pre-K, safe and inclusive school environments"
Mercy Housing Northwest,https://www.mercyhousing.org/northwest/,"Mercy Housing Northwest owns and operates 52 properties throughout Washington, Oregon, and Idaho, providing over 5,000 families and seniors with an affordable place to call home. The organization combines permanent affordable housing with onsite resident services focused on stability, health, education, and financial well-being.",Yes,Yes,Yes,Yes,"Low-income families, seniors, individuals with developmental disabilities, homeless/at-risk populations, veterans, educators across 22 counties","Washington, Oregon, and Idaho (22 counties); Northwest regional office in Seattle","6930 Martin Luther King Jr. Way S, Seattle, WA 98118",Not available on website,206-838-5700,"Affordable housing development, homeownership assistance (100+ families), after-school tutoring and homework club, ESL coaching, nutrition workshops, health education, employment coaching, tax preparation, emergency assistance, case management, eviction prevention, health and housing integration"
Minds Matter Seattle,https://mindsmatterseattle.org/,"Minds Matter Seattle connects high-achieving students from low-income families with mentorship, test preparation, and college guidance to help them attend their college of choice and create futures of impact. The organization provides summer programs and college preparation programming.",No,Yes,No,No,"High-achieving high school students from low-income families and neighborhoods in the Seattle area",Seattle area (broader coverage),"PO Box 20656, Seattle, WA 98102",mindsmatterseattle@gmail.com,Not available on website,"College preparation and guidance, volunteer mentorship, student leadership development, college access for underrepresented populations, business-focused summer programs at universities"
MomsRising,https://www.momsrising.org/,"MomsRising is a national network advocating for family-friendly policies and systemic change. They mobilize moms and supporters around issues including workplace justice, maternal health, early care and education, and reproductive rights to transform conditions for families nationwide.",No,No,Yes,Yes,"Moms and people who love them nationwide, with particular attention to marginalized communities (Black women, immigrant families, low-income families); operates across United States with state-level organizing","National (United States) - operates across federal and state levels including Washington state",Not available on website,feedback@momsrising.org,Not available on website,"Gun control advocacy, immigration/immigrant family rights, federal budget priorities for families, voter suppression prevention, reproductive rights, workplace justice, maternal health, early care and education, Moms Next Door program, State Moms Forces, dismantling school-to-prison pipeline"
Neighborhood House,http://www.nhwa.org/,"Founded in 1906, Neighborhood House is one of the oldest human services agencies in the Seattle region, providing comprehensive programs addressing the needs of entire families, particularly low-income community members, public housing residents, immigrants, and refugees.",Yes,Yes,Yes,Yes,"Low-income community members, public housing residents, immigrants, refugees, and entire families",Seattle region and King County area,"1225 South Weller Street, Suite 510, Seattle, WA 98144",info@nhwa.org,206-923-6480,"Housing stability, aging and disability services, employment and adult education, early childhood education, youth development, community health (services in 40+ languages)"
OneAmerica,http://weareoneamerica.org/,"OneAmerica organizes immigrant and refugee leaders to build power in communities and run campaigns for a just immigration system, inclusive education for all, and a truly representative democracy.",No,No,Yes,Yes,"Immigrant and refugee families and workers across Washington State",Washington State (statewide focus),Not provided,info@weareoneamerica.org,Not provided,"Immigration policy and advocacy, civic engagement, voting power, democracy reform, workforce development, economic inclusion, English classes, citizenship support"
OneWorld Now!,https://oneworldnow.org/,Information not accessible from website. Organization appears to focus on youth education and global awareness programs based on organization name and social media presence.,Unknown,Unknown,Unknown,Unknown,Unknown,Seattle area (inferred),Not provided,Not provided,Not provided,"Website inaccessible for detailed information. Social media: Facebook @oneworldnow, Twitter @oneworldnow"
Rainier Beach Action Coalition,http://www.rbcoalition.org/,"RBAC is a Black-led grassroots organization dedicated to locally driven development in Seattle's Rainier Beach neighborhood. They promote quality education, living wage jobs, affordable housing and transportation, and build community capacity to create a connected, sustainable, equitable community.",Yes,Yes,Yes,Yes,"Rainier Beach neighborhood residents, with focus on youth and Black homeowners in South Seattle, South King, and North Pierce Counties","Rainier Beach neighborhood, South Seattle, South King County","9013 Martin Luther King Jr Way S, Seattle, WA 98118",info@rbactioncoalition.org,206-420-1010,"Food justice, housing initiatives, economic development, transportation planning, environmental sustainability, parks/gardens/farms development, Back2School Bash, youth journalism"
Rainier Beach High School PTSA,http://rainierbeachhs.seattleschools.org/,Parent Teacher Student Association supporting Rainier Beach High School community. Specific PTSA programming details not available from school website.,Unknown,Unknown,Yes,Unknown,Rainier Beach High School students and families,Rainier Beach neighborhood in South Seattle,"8815 Seward Park Ave. S, Seattle, WA 98118",rainierbeachhs.attendance@seattleschools.org,206-252-6350,School support and family engagement
Rainier Scholars,http://www.rainierscholars.org/,"Rainier Scholars offers a 12-year pathway to college graduation for low-income students of color, beginning in 5th grade and extending through college completion. The organization cultivates academic and leadership potential through rigorous, transformative opportunities.",Yes,Yes,No,No,"Low-income students of color in Seattle and Tacoma; approximately 100 new scholars join annually, with specific focus on African American students in Tacoma program",Seattle and Tacoma,"2100 24th Ave S, Suite 360, Seattle, WA 98144-4646",info@rainierscholars.org,206-407-2111,"College access and completion, leadership development, critical thinking, resilience building, summer programs, mental health resources, career development"
RVC Seattle,https://rvcseattle.org/,"RVC Seattle provides fiscal sponsorship, capacity building, and operations support to BIPOC grassroots organizations in Seattle-King County. They help community-based organizations develop sustainable infrastructure while maintaining their focus on equity and social justice work.",No,Yes,Yes,Yes,"BIPOC (Black, Indigenous, People of Color) grassroots organizations and leaders of color in Seattle-King County",Seattle-King County region,"3715 S Hudson St, Suite 103, Seattle, WA 98118",[email protected],206-436-9536,"Organizational sustainability, nonprofit infrastructure development, racial equity, social justice, Community Impact Fellowship with leadership training and mentorship"
Reading Partners Seattle,https://readingpartners.org/location/seattle/,"Reading Partners delivers evidence-based, individualized literacy tutoring to elementary students in Seattle. They provide twice-weekly tutoring grounded in the science of reading, partnering with community organizations to expand reach beyond direct programming.",No,Yes,Yes,Yes,"K-2 students in underserved communities; works through schools and community-based organizations",Seattle,Not provided,joyce.macek@readingpartners.org,Not provided,"Literacy development, educational equity, science of reading instruction, individualized tutoring, high-dosage intervention, family literacy resources. 2024-25: 91% of K-2 students developing mastery, 329 students served, 9,852 tutoring sessions"
Refugee Women's Alliance (ReWA),http://www.rewa.org/,"ReWA provides refugees and immigrants in Puget Sound with wraparound social services to thrive. The organization delivers eight integrated services in over 65 languages, supporting families across employment, housing, legal, educational, and health domains.",Yes,Yes,Yes,No,"Refugees and immigrants in the Puget Sound region, with particular focus on women and families from diverse backgrounds",Puget Sound region,"4008 Martin Luther King, Jr. Way South, Seattle, WA 98108",info@rewa.org,206-721-0243,"Housing and homelessness prevention, employment and vocational training, early childhood development, domestic violence support, immigration legal services, naturalization, citizenship preparation, behavioral health, gender-based violence survivor support"
Sawhorse Revolution,https://sawhorserevolution.org/,"Sawhorse Revolution fosters confident, community-oriented youth through the power of carpentry and craft. The organization teams high school students with professional carpenters and architects to design and build community projects addressing local needs.",No,Yes,Yes,Yes,"High school youth in the Seattle area; projects serve homeless populations and broader community members",Seattle region (King County),"801 2nd Ave #501, Seattle, WA 98104",[email protected],Not provided,"Housing (tiny homes for homeless), library construction, garden infrastructure, youth workforce development, Indigenous community prioritization, carpentry and construction skills training, design thinking"
School Connect WA,https://www.schoolconnectwa.org/,Information not accessible from website due to technical limitations. Organization serves Washington state.,,,,,,Washington state,,,,"Website technical issues prevented data extraction"
Seattle Chinese Alliance Church,http://www.scacseattle.org/,"Faith-based organization serving the Chinese community in Seattle through Christian ministry and worship across multiple language groups (Cantonese, English, and Mandarin).",No,Partial,Yes,No,"Chinese immigrant and ethnic Chinese communities in Seattle; organized by language preference (Cantonese, English, Mandarin speakers) and age groups (youth, children)",Seattle,,,,"Religious education, spiritual formation, pastoral care, multilingual ministry services, youth ministries, children ministries"
Seattle Colleges,https://www.seattlecolleges.edu/,"Three-college system offering workforce education, career training, and academic transfer programs. Provides certificate and degree programs across multiple specialty centers while serving diverse student populations, including high school students through Running Start and Seattle residents through the Seattle Promise initiative.",Yes,Yes,Yes,Yes,"High school students, working adults, workforce retraining participants, international students, Seattle public school graduates (through Seattle Promise)","Seattle and surrounding regions","1500 Harvard Avenue, Seattle, WA 98122",,206.934.4100,"Workforce development, career training certificates (130+ programs), tuition-free college access initiatives, maritime education, wood technology training, healthcare education"
Seattle Council PTSA,https://scptsa.org/,"Represents over 80 PTAs/PTSAs in Seattle Public Schools, centering voices of those furthest from educational justice. Supports, informs, and advocates for school communities citywide with mission to make every child's potential a reality by engaging and empowering families.",No,Yes,Yes,Yes,"Seattle Public Schools families and students; emphasis on communities furthest from educational justice",Seattle,"PO Box 24483, Seattle, WA 98124",president@scptsa.org; secretary@scptsa.org,,"Grant funding to local PTAs, Diversity Equity & Inclusion focus, mental health resources, safety and reporting resources, support for LGBTQIA+ immigrant and disability communities, Reflections program (student art competition), School of Excellence program"
Seattle Public Schools School and Community Partnerships,https://www.seattleschools.org/departments/community-partnerships/,"Builds collaborative, cross-sector partnership systems facilitating consistent and student-centered ecosystem of supports for students, with vision of transformational, equity-driven, anti-racist partnerships.",Yes,Yes,Yes,Yes,"Seattle Public Schools students and families across all grade levels; emphasis on low-income students, students of color, and those furthest from educational justice","Seattle (district-wide); some King County partnerships","John Stanford Center for Educational Excellence, 2445 3rd Ave. S, Seattle, WA 98134",communitypartnerships@seattleschools.org,206-252-0000,"Affordable housing partnerships, youth employment/transition services (BRIDGES program), school-based health centers, basic needs support, post-secondary transition for students with disabilities"
Space Between,https://www.spacebetween.community/,"Facilitates human and school transformation through mindfulness practices. Works to ensure all students are well and whole by providing mindfulness-based social emotional learning as a life skill in the Seattle area and beyond.",Yes,Yes,Yes,Yes,"Students, teachers, parents, and school communities in the Seattle area; serves diverse student populations including elementary through high school students",Seattle area and beyond,"Brain and Body Recess, 3820 S Ferdinand St #201A, Seattle, WA 98118",Available via contact form,,"Youth development, mental health promotion, racial equity, professional development for educators, systems transformation through mindfulness practice, emotion management, self-awareness, stress/anxiety reduction"
STEM Paths Innovation Network,http://www.stempaths.org/,"Closes the opportunity gap for women and BIPOC communities in STEM education and careers. Offers six programs serving students from kindergarten through high school, focusing on creating equity in STEM across King County.",No,Yes,No,Yes,"Women and BIPOC students (K-12); focus on South King County's diverse communities and underrepresented populations in STEM fields","King County with primary focus on South King County; serves multiple school districts across the region","3250 Airport Way S Suite 742, Seattle, WA 98134",katb@stempaths.org,"206-580-3036, 503-832-7609","Youth leadership development, mentorship programs, workforce training, career pathway development in STEM fields, hands-on projects in coding, 3D design, biomimicry, food science, makerspace (The Lab)"
Southeast Youth and Family Services,https://seyfs.org/,"Mission is to assist children, youth and families in King County in achieving safe, stable and sustainable lives. Black-led nonprofit serving South Seattle for over 50 years providing culturally relevant mental health and family support services.",Yes,Yes,Yes,No,"Children, youth, and families in South Seattle and King County, with emphasis on underserved and diverse communities",South Seattle and greater King County,"3722 S Hudson St, Seattle, WA 98118",,206-721-5542,"Youth violence prevention, wraparound family services, early childhood development (ParentChild+), teen mental health support, individual/family/couples therapy, support groups for teens and parents, multilingual staff"
The Math Agency,https://themathagency.com/,"Works to close education gaps in public schools by combining technology with engaged coaches to help students achieve measurable improvements in math proficiency. Students double their academic growth rates, with all cohorts significantly outperforming peers not enrolled in the program.",No,Yes,No,Yes,"Public school students in Washington state, particularly those not meeting basic math standards. Four school partners: Stevenson, TOPS, Lake Hills, and Baldwin",Washington state,,info@themathagency.com,,"Youth development through academic coaching, building student confidence and motivation, personalized game-based learning approaches, after-school tutoring model, data-driven systems change"
The Seattle Public Library,http://www.spl.org/,"Provides free access to books, digital resources, online learning tools, and community programs across 27 locations in Seattle. Serves as a public institution offering cultural programming, research materials, and educational support to all residents.",Yes (limited),Yes,Yes,Yes (limited),"All Seattle residents; specific focus on families with young children, teens, seniors (Adults 50+), and multilingual communities","Seattle with 27 branch locations citywide","1000 Fourth Ave., Seattle, WA 98104-1109",,206-386-4636,"Digital literacy, e-books/audiobooks access, genealogy research, interlibrary loans, unique collections, world languages collection, free public computer/internet access, story times, arts & culture events, author talks, STEM resources, civics & social services programming, free tax help"
Urban Impact,http://www.urbanimpactseattle.org/,"Urban Impact works to break the cycle of generational poverty and create communities where everyone is engaged and thriving. They focus on building healthy relationships and promoting education, economic opportunity, safety, health, racial justice, and spiritual foundation.",Yes,Yes,Yes,Yes,"Primarily North Seattle neighborhoods, serving families experiencing poverty, youth, and underserved communities","Seattle, Washington - North Seattle region","7728 Rainier Avenue South, Seattle, WA 98118",info@urbanimpactseattle.org,206.722.2052,"Economic development, entrepreneurship support (Shark's Pitch Accelerator), health and wellness, spiritual/faith-based community engagement, neighborhood transformation, educational support"
University of Washington College of Education - Danforth Educational Leadership Program,https://education.uw.edu/academics/program/danforth,"The program prepares equity-driven educators to become outstanding principals and program administrators in P–12 school systems through innovative, competency-based training combining classroom instruction, cutting-edge research, and intensive internship experiences.",No,No,Partial,Yes,"Educators seeking principal/administrator certification; current school-based instructional staff; emphasis on serving equity-driven leaders working in P–12 schools and districts","Seattle-based program with primary focus on Washington state; preference for Seattle Public Schools internship placements","2012 Skagit Lane, Miller Hall, Box 353600, Seattle, WA 98195-3600",jennindo@uw.edu,N/A,"Educational leadership development; culturally responsive leadership practices; ethical leadership; instructional capacity building; data-driven decision making; 100% graduation completion rate with 96% employment placement"
